FIPS code,Income Year,PerCapita Income
19025,2022,6441.11
19027,2022,13992.59
19029,2022,8020.76
19031,2022,12559.11
19033,2022,32410.05
19035,2022,11051.06
19037,2022,12209.51
19039,2022,4779.83
19041,2022,10406.53
19043,2022,11383.23
19045,2022,24360.01
19047,2022,9109.49
19049,2022,85930.14
19051,2022,5181.19
19053,2022,3499.0
19055,2022,11053.67
19057,2022,22042.26
19059,2022,13887.46
19061,2022,60403.98
19063,2022,5076.16
19065,2022,10418.18
19067,2022,9478.92
19069,2022,6789.92
19071,2022,3964.52
19073,2022,5470.13
19075,2022,8226.91
19077,2022,7445.55
19079,2022,9925.14
19081,2022,7414.79
19083,2022,12963.82
19085,2022,8810.77
19087,2022,10379.65
19089,2022,6251.98
19091,2022,5846.55
19093,2022,5203.26
19095,2022,10208.09
19097,2022,10904.6
19099,2022,19549.79
19101,2022,8919.05
19103,2022,95646.79
19105,2022,11565.61
19107,2022,5716.87
19109,2022,10057.56
19111,2022,16680.49
19113,2022,139845.96
19115,2022,5862.02
19117,2022,4321.05
19119,2022,9198.8
19121,2022,10197.82
19123,2022,11787.52
19125,2022,20383.83
19127,2022,19693.64
19129,2022,9917.28
19131,2022,11154.43
19133,2022,5227.95
19135,2022,4197.78
19137,2022,5215.94
19139,2022,23627.79
19141,2022,9473.41
19143,2022,4063.04
19145,2022,8196.87
19147,2022,6014.47
19149,2022,17955.79
19151,2022,4726.03
19153,2022,320362.8
19155,2022,52242.68
19157,2022,10549.51
19159,2022,2776.8
19161,2022,7908.22
19163,2022,109968.84
19165,2022,7801.64
19167,2022,25380.76
19169,2022,52913.11
19171,2022,9865.63
19173,2022,3451.2
19175,2022,6038.56
19177,2022,3670.35
19179,2022,16302.36
19181,2022,33644.36
19183,2022,18619.34
19185,2022,3582.43
19187,2022,19692.15
19189,2022,6014.14
19191,2022,12322.92
19193,2022,54919.1
19195,2022,4200.57
19197,2022,9301.98
20001,2022,5938.59
20003,2022,3960.85
20005,2022,7031.31
20007,2022,2253.38
20009,2022,14057.13
20011,2022,6757.28
20013,2022,4865.45
20015,2022,37103.39
20017,2022,1534.53
20019,2022,1474.44
20021,2022,10478.68
20023,2022,1631.99
20025,2022,1062.64
20027,2022,3978.03
20029,2022,4144.52
20031,2022,4689.47
20033,2022,852.81
20035,2022,15357.33
20037,2022,17730.94
20039,2022,1896.71
20041,2022,8937.39
20043,2022,3694.59
20045,2022,64407.94
20047,2022,1805.52
20049,2022,1023.53
20051,2022,15850.31
20053,2022,3017.8
20055,2022,19030.18
20057,2022,16178.65
20059,2022,12820.53
20061,2022,18423.33
20063,2022,2409.73
20065,2022,1470.27
20067,2022,3078.29
20069,2022,3803.27
20071,2022,1335.82
20073,2022,2785.34
20075,2022,2314.21
20077,2022,3223.22
20079,2022,17291.88
20081,2022,2451.22
20083,2022,1071.43
20085,2022,6633.32
20087,2022,10009.99
20089,2022,1519.44
20091,2022,601956.58
20093,2022,2343.29
20095,2022,3848.9
20097,2022,1187.8
20099,2022,9838.78
20101,2022,1283.12
20103,2022,42218.11
20105,2022,1442.4
20107,2022,4698.67
20109,2022,1817.05
20111,2022,15174.58
20113,2022,17896.91
20115,2022,5593.95
20117,2022,4724.82
20119,2022,2628.74
20121,2022,21122.1
20123,2022,3794.04
20125,2022,13671.89
20127,2022,2730.36
20129,2022,1353.68
20131,2022,6744.34
20133,2022,7338.37
20135,2022,1761.61
20137,2022,2972.66
20139,2022,7867.7
20141,2022,1885.6
20143,2022,2995.49
20145,2022,2820.88
20147,2022,3015.2
20149,2022,16032.62
20151,2022,5068.19
20153,2022,2215.45
20155,2022,29573.02
20157,2022,2244.42
20159,2022,4647.21
20161,2022,36571.7
20163,2022,2242.47
20165,2022,1645.51
20167,2022,3650.13
20169,2022,30614.75
20171,2022,3099.31
20173,2022,306231.33
20175,2022,9973.72
20177,2022,97771.75
20179,2022,1423.63
20181,2022,3249.97
20183,2022,2089.34
20185,2022,2068.07
20187,2022,1707.31
20189,2022,2671.54
20191,2022,10797.44
20193,2022,4514.81
20195,2022,1684.96
20197,2022,3949.17
20199,2022,944.87
20201,2022,2760.76
20203,2022,1179.3
20205,2022,4160.1
20207,2022,1388.26
20209,2022,66051.21
21001,2022,7948.85
21003,2022,8723.89
21005,2022,11153.69
21007,2022,3978.15
21009,2022,19360.17
21011,2022,4949.11
21013,2022,9368.76
21015,2022,82163.28
21017,2022,11772.53
21019,2022,22040.02
21021,2022,14484.28
21023,2022,3779.98
21025,2022,5246.97
21027,2022,8697.02
21029,2022,43201.73
21031,2022,5385.17
21033,2022,5597.73
21035,2022,16689.36
21037,2022,58944.48
21039,2022,2653.05
21041,2022,5154.89
21043,2022,10260.62
21045,2022,6416.16
21047,2022,32833.36
21049,2022,18025.0
21051,2022,7604.78
21053,2022,4052.63
21055,2022,3803.37
21057,2022,3048.74
21059,2022,51786.65
21061,2022,4981.15
21063,2022,2018.27
21065,2022,5647.26
21067,2022,198483.99
21069,2022,6328.93
21071,2022,15009.82
21073,2022,25694.95
21075,2022,2699.24
21077,2022,3875.35
21079,2022,7742.87
21081,2022,11673.9
21083,2022,18446.35
21085,2022,11232.37
21087,2022,4812.14
21089,2022,16922.7
21091,2022,5455.84
21093,2022,59851.45
21095,2022,9724.56
21097,2022,8284.38
21099,2022,8295.08
21101,2022,23420.85
21103,2022,7900.93
21105,2022,2617.43
